country,region,year,fertility_rate,birth_attended_staff_rate,child_mortality_rate,maternal_mortality_rate,average_life_expectancy,health_spending_per_person,health_spending_rate
Sudan,EMR,1998,0.0561,0.0,0.111,0.00245,62.0,13.8,0.04
Senegal,AFR,1998,0.0567,0.0,0.139,0.0034799999999999996,59.7,22.8,0.041
Singapore,WBR,1998,0.0148,0.997,0.004370000000000001,9.740000000000001e-05,78.3,700.0,0.032
Solomon Islands,WBR,1998,0.0487,0.0,0.0315,0.0028699999999999997,56.9,43.0,0.0553
Sierra Leone,AFR,1998,0.0646,0.0,0.244,0.00451,49.8,22.6,0.133
El Salvador,AMR,1998,0.0326,0.904,0.037000000000000005,0.0007970000000000001,71.4,169.0,0.0825
Somalia,EMR,1998,0.0768,0.0,0.172,0.00415,50.8,7.43,0.0269
Serbia,EUR,1998,0.0182,0.0,0.0139,0.00014900000000000002,70.7,117.0,0.07400000000000001
Sao Tome and Principe,WBR,1998,0.0538,0.0,0.0938,0.0022199999999999998,64.2,42.5,0.0793
Suriname,AMR,1998,0.0294,0.0,0.037000000000000005,0.0007409999999999999,70.8,178.0,0.0861
Slovak Republic,WBR,1998,0.0138,1.0,0.0106,9.98e-05,73.0,235.0,0.0566
Slovenia,EUR,1998,0.0122,0.998,0.00618,3.01e-05,75.5,857.0,0.0781
Sweden,EUR,1998,0.0152,0.0,0.004220000000000001,5.9e-05,79.6,2340.0,0.0812
Eswatini,AFR,1998,0.0439,0.0,0.114,0.00105,53.0,84.4,0.0556
Seychelles,AFR,1998,0.0218,0.0,0.013800000000000002,0.0007040000000000001,71.6,413.0,0.052300000000000006
Syria,EMR,1998,0.0423,0.0,0.0257,0.0004940000000000001,70.4,56.7,0.0512
Chad,AFR,1998,0.0741,0.0,0.192,0.00468,52.5,12.3,0.0541
Togo,AFR,1998,0.0552,0.505,0.126,0.00314,56.6,16.4,0.0466
Thailand,SEAR,1998,0.0174,0.0,0.0242,0.0009119999999999999,71.8,67.8,0.0373
Tajikistan,EUR,1998,0.041900000000000014,0.741,0.0968,0.0005920000000000001,65.7,7.79,0.0356
Turkmenistan,EUR,1998,0.0301,0.0,0.0848,0.00061,64.7,31.3,0.0481
Timor-Leste,SEAR,1998,0.0699,0.0,0.12,0.0035,63.8,29.6,0.193
Tonga,WBR,1998,0.043,0.0,0.0182,0.00112,71.0,91.3,0.0587
Trinidad and Tobago,AMR,1998,0.018000000000000002,0.982,0.0287,0.000719,69.9,174.0,0.0368
Tunisia,EMR,1998,0.0229,0.0,0.0347,0.000606,73.8,122.0,0.0571
Turkey,EUR,1998,0.0261,0.8059999999999999,0.0441,0.000735,72.7,155.0,0.0359
Tanzania,AFR,1998,0.0574,0.0,0.14400000000000002,0.0023899999999999998,52.6,9.8,0.034
Uganda,AFR,1998,0.0694,0.0,0.159,0.00137,48.7,14.8,0.0532
Ukraine,EUR,1998,0.0122,0.999,0.0198,0.00031099999999999997,68.7,55.6,0.0662
Uruguay,AMR,1998,0.0229,0.99,0.0183,0.00029,74.1,661.0,0.0857
United States,AMR,1998,0.02,0.994,0.00875,0.000128,76.9,4240.0,0.134
Uzbekistan,EUR,1998,0.0303,1.0,0.06709999999999999,0.00021400000000000002,65.4,39.8,0.0643
St. Vincent and the Grenadines,WBR,1998,0.0251,0.98,0.0226,0.000595,71.0,123.0,0.0417
Venezuela,AMR,1998,0.0292,0.0,0.0235,0.0005960000000000001,74.0,176.0,0.0451
Vietnam,WBR,1998,0.0221,0.0,0.033,0.000292,71.7,17.5,0.049400000000000006
Vanuatu,WBR,1998,0.0454,0.0,0.0293,0.00122,63.5,57.6,0.039
Samoa,WBR,1998,0.0459,1.0,0.0226,0.0009289999999999999,68.2,72.1,0.0558
Yemen,EMR,1998,0.0674,0.0,0.10300000000000001,0.00209,62.5,21.6,0.054000000000000006
South Africa,AFR,1998,0.0292,0.8440000000000001,0.069,0.0010400000000000001,58.0,265.0,0.0858
Zambia,AFR,1998,0.0609,0.0,0.17300000000000001,0.00237,45.5,21.8,0.0653
Zimbabwe,AFR,1998,0.0416,0.0,0.106,0.00107,49.7,52.7,0.108
Afghanistan,EMR,1999,0.0757,0.0,0.133,0.0045899999999999995,54.7,0.0,0.0
Angola,AFR,1999,0.0668,0.0,0.21100000000000002,0.00283,51.9,8.82,0.0194
Albania,EUR,1999,0.0225,0.99,0.0274,0.000118,75.1,65.0,0.0583
United Arab Emirates,EMR,1999,0.0277,0.0,0.0115,0.000175,69.2,847.0,0.029
Argentina,AMR,1999,0.0259,0.975,0.0204,0.000603,73.8,726.0,0.0935
Armenia,EUR,1999,0.014,0.988,0.032299999999999995,0.000314,71.9,34.0,0.057
Antigua and Barbuda,AMR,1999,0.0232,0.0,0.0167,0.000264,74.7,401.0,0.0468
Australia,WBR,1999,0.0176,0.993,0.0063100000000000005,0.000105,79.4,1750.0,0.0776
Austria,EUR,1999,0.0134,0.983,0.00561,3.570000000000001e-05,78.2,2670.0,0.101
Azerbaijan,EUR,1999,0.0211,0.924,0.08,0.00038500000000000003,66.2,30.8,0.054000000000000006
Burundi,AFR,1999,0.0707,0.0,0.162,0.00549,44.3,7.22,0.0561
Belgium,EUR,1999,0.016200000000000003,0.993,0.006059999999999999,6.500000000000001e-05,77.8,2010.0,0.0808
Benin,AFR,1999,0.0604,0.0,0.14300000000000002,0.0034200000000000003,57.3,18.0,0.0459
Burkina Faso,AFR,1999,0.0665,0.31,0.182,0.00247,52.1,13.3,0.0526
Bulgaria,EUR,1999,0.0118,0.99,0.0182,0.000455,70.0,96.3,0.0597
Bahrain,EMR,1999,0.0281,0.0,0.0132,0.0005059999999999999,71.2,496.0,0.0467
Bahamas,AMR,1999,0.0217,0.99,0.0159,0.000651,70.8,1060.0,0.0606
Bosnia and Herzegovina,EUR,1999,0.0156,0.996,0.0103,0.000183,75.4,114.0,0.0873
Belarus,EUR,1999,0.0126,0.999,0.0137,0.00022799999999999999,68.2,74.0,0.0616
Belize,AMR,1999,0.037000000000000005,0.838,0.0245,0.0005070000000000001,70.3,109.0,0.0365
Bolivia,AMR,1999,0.0416,0.0,0.0798,0.0028899999999999998,66.0,63.1,0.062
Brazil,AMR,1999,0.0237,0.986,0.0371,0.0007040000000000001,70.8,242.0,0.0709
Barbados,AMR,1999,0.0174,0.91,0.015,0.000459,74.8,569.0,0.0612
Brunei,WBR,1999,0.0236,0.994,0.0107,0.000322,72.3,589.0,0.0447
Bhutan,SEAR,1999,0.038,0.0,0.08199999999999999,0.00283,66.0,50.5,0.0707
Botswana,AFR,1999,0.0349,0.0,0.0851,0.00161,46.4,131.0,0.0385
Central African Republic,AFR,1999,0.0552,0.0,0.17300000000000001,0.00549,43.8,10.2,0.0351
Canada,AMR,1999,0.0154,0.992,0.00627,4.72e-05,79.1,1940.0,0.08900000000000001
Switzerland,EUR,1999,0.0145,0.0,0.005730000000000001,7.400000000000001e-05,80.1,3820.0,0.102
Chile,AMR,1999,0.0214,0.994,0.0115,0.000294,76.5,395.0,0.08220000000000001
China,WBR,1999,0.0149,0.968,0.039200000000000006,0.000759,71.2,38.6,0.0451
Cote d'Ivoire,WBR,1999,0.0578,0.471,0.14800000000000002,0.00317,51.0,42.9,0.0555
Cameroon,AFR,1999,0.0565,0.0,0.152,0.00396,54.8,29.0,0.0443
"Congo, Dem. Rep.",WBR,1999,0.0702,0.0,0.165,0.00274,53.5,11.5,0.0432
"Congo, Rep.",WBR,1999,0.051100000000000007,0.0,0.115,0.00375,52.2,23.5,0.0305
Colombia,AMR,1999,0.0243,0.921,0.0258,0.000715,74.1,206.0,0.0934
Comoros,AFR,1999,0.0531,0.0,0.102,0.0025800000000000003,61.2,13.2,0.032400000000000005
Cape Verde,AFR,1999,0.0391,0.0,0.04,0.00123,69.7,62.2,0.0447
Costa Rica,AMR,1999,0.0246,0.982,0.013800000000000002,0.000285,77.3,255.0,0.0619
Cuba,AMR,1999,0.0163,0.999,0.0089,0.000586,76.6,154.0,0.0605
Cyprus,EUR,1999,0.0178,1.0,0.00705,0.000146,76.3,781.0,0.056
Czech Republic,EUR,1999,0.0113,0.999,0.00584,6.75e-05,75.0,384.0,0.0635
Germany,EUR,1999,0.013500000000000002,0.987,0.005520000000000001,6.37e-05,78.1,2690.0,0.104
Djibouti,EMR,1999,0.0462,0.0,0.10300000000000001,0.0039700000000000004,60.3,46.9,0.0622
Denmark,EUR,1999,0.0174,0.987,0.00562,5.41e-05,76.7,2930.0,0.0895
Dominican Republic,AMR,1999,0.029300000000000007,0.966,0.0422,0.0006730000000000001,73.4,150.0,0.0593
Algeria,AFR,1999,0.0264,0.0,0.0403,0.00149,70.7,62.5,0.0387
Ecuador,AMR,1999,0.0309,0.991,0.0309,0.000771,74.2,64.9,0.0473
Egypt,EMR,1999,0.0329,0.0,0.0498,0.000679,67.9,72.8,0.0534
Eritrea,AFR,1999,0.0543,0.0,0.0901,0.00468,47.3,9.08,0.0467
Estonia,EUR,1999,0.0131,0.995,0.0119,0.00017800000000000002,70.7,271.0,0.06559999999999999
Ethiopia,AFR,1999,0.0666,0.0,0.14800000000000002,0.0052899999999999996,50.8,4.51,0.0389
Finland,EUR,1999,0.0173,0.984,0.00441,4.6200000000000005e-05,77.8,1860.0,0.0737
Fiji,WBR,1999,0.0313,0.964,0.023,0.0011300000000000001,65.9,75.1,0.0312
France,EUR,1999,0.0179,0.0,0.0055,0.000106,78.9,2450.0,0.102
"Micronesia, Fed. Sts.",WBR,1999,0.0439,0.838,0.0545,0.0016300000000000002,62.8,156.0,0.0782
Gabon,AFR,1999,0.0463,0.0,0.086,0.0028399999999999996,59.8,116.0,0.029900000000000006
United Kingdom,EUR,1999,0.0169,0.0,0.0066500000000000005,8.900000000000001e-05,77.6,1760.0,0.0689
Georgia,EUR,1999,0.016399999999999998,0.964,0.039,0.000285,70.7,36.7,0.0629
Ghana,AFR,1999,0.049,0.443,0.10300000000000001,0.00159,59.7,20.5,0.0497
Guinea,AFR,1999,0.06150000000000001,0.348,0.174,0.0054,54.4,23.7,0.0562
Gambia,AFR,1999,0.0597,0.0,0.11900000000000001,0.00439,61.5,19.8,0.0576
Guinea-Bissau,AFR,1999,0.0591,0.0,0.18,0.00392,50.0,10.6,0.0575
Equatorial Guinea,AFR,1999,0.0588,0.0,0.161,0.0028699999999999997,56.6,39.9,0.023
Greece,EUR,1999,0.0133,0.999,0.006860000000000001,6.45e-05,78.2,1110.0,0.0862
Grenada,AMR,1999,0.0267,0.99,0.0159,0.000468,71.9,292.0,0.07780000000000001
Guatemala,AMR,1999,0.047,0.406,0.0539,0.00224,66.4,79.9,0.0479
Guyana,AMR,1999,0.0304,0.0,0.0478,0.00179,64.1,42.8,0.0451
Honduras,AMR,1999,0.0417,0.0,0.0389,0.00187,69.9,50.7,0.057
Croatia,EUR,1999,0.0147,0.999,0.008620000000000001,0.000123,74.1,372.0,0.07339999999999999
Haiti,AMR,1999,0.0443,0.0,0.107,0.00455,57.0,27.2,0.0565
Hungary,EUR,1999,0.0133,0.995,0.0107,6.159999999999999e-05,71.1,345.0,0.0732
Indonesia,SEAR,1999,0.0252,0.0,0.0549,0.00349,67.0,15.2,0.0228
India,SEAR,1999,0.0338,0.423,0.0952,0.0036899999999999997,62.6,18.2,0.0417
Ireland,EUR,1999,0.0194,0.995,0.0072900000000000005,3.54e-05,76.4,1560.0,0.0601
Iran,EMR,1999,0.0236,0.0,0.0362,0.000384,71.6,178.0,0.0459
Iraq,EMR,1999,0.05,0.0,0.0452,0.0008119999999999999,68.3,15.2,0.0173
Iceland,EUR,1999,0.0202,0.996,0.00426,3.5799999999999996e-05,79.9,3220.0,0.102
Israel,EUR,1999,0.0292,0.0,0.00717,7.63e-05,78.7,1320.0,0.0732
Italy,EUR,1999,0.0124,0.0,0.00587,4.68e-05,79.3,1640.0,0.0774
Jamaica,AMR,1999,0.0262,0.0,0.0229,0.0007340000000000001,74.5,162.0,0.0468
Jordan,EMR,1999,0.0413,0.0,0.0278,0.000904,72.5,161.0,0.0936
Japan,WBR,1999,0.0134,0.0,0.004730000000000001,9.25e-05,81.2,2600.0,0.0755
Kazakhstan,EUR,1999,0.0194,0.991,0.0453,0.0006230000000000001,64.8,49.1,0.0439
Kenya,AFR,1999,0.0524,0.0,0.11,0.00264,54.9,17.8,0.042
Kyrgyz Republic,WBR,1999,0.0276,0.985,0.0521,0.000538,67.6,15.3,0.0599
Cambodia,WBR,1999,0.0397,0.0,0.114,0.00385,60.0,17.8,0.0618
Kiribati,WBR,1999,0.041100000000000005,0.0,0.0734,0.0037799999999999995,56.2,76.1,0.0894
South Korea,WBR,1999,0.0141,0.0,0.007909999999999999,0.00015199999999999998,76.0,423.0,0.0426
Kuwait,EMR,1999,0.0289,0.0,0.0127,0.000109,77.8,596.0,0.0367
Lao,WBR,1999,0.0451,0.0,0.111,0.00448,57.8,10.4,0.0372
Lebanon,EMR,1999,0.0231,0.0,0.021,0.000281,74.6,490.0,0.104
Liberia,AFR,1999,0.0595,0.0,0.19899999999999998,0.00583,53.8,8.55,0.0525
Libya,EMR,1999,0.0298,0.99,0.028999999999999998,0.00022999999999999998,74.9,215.0,0.0363
St. Lucia,WBR,1999,0.0235,0.0,0.0181,0.000488,73.1,224.0,0.0501
Sri Lanka,SEAR,1999,0.022400000000000003,0.0,0.0171,0.000616,71.6,30.4,0.0361
Lesotho,AFR,1999,0.042,0.0,0.115,0.0016600000000000002,50.2,27.6,0.0683
Lithuania,EUR,1999,0.0138,1.0,0.0112,0.000146,71.9,193.0,0.062
Luxembourg,EUR,1999,0.0171,0.0,0.00505,9.03e-05,77.8,2870.0,0.0583
Latvia,EUR,1999,0.0117,1.0,0.0153,0.000335,70.1,196.0,0.0643
Morocco,EMR,1999,0.0285,0.0,0.0517,0.002,68.9,55.7,0.0398
Moldova,EUR,1999,0.0153,0.98,0.0341,0.000306,68.8,16.6,0.0589
Madagascar,AFR,1999,0.0565,0.0,0.113,0.0037600000000000003,59.1,8.0,0.032
Maldives,SEAR,1999,0.0316,0.0,0.0438,0.0018800000000000002,71.6,143.0,0.06509999999999999
Mexico,AMR,1999,0.0277,0.0,0.0279,0.000655,73.7,277.0,0.051
North Macedonia,EUR,1999,0.0177,0.97,0.0171,0.000143,71.4,165.0,0.0872
Mali,AFR,1999,0.0692,0.0,0.19399999999999998,0.0048,52.9,16.2,0.0605
Malta,EUR,1999,0.0175,0.0,0.00788,0.00011499999999999999,78.6,657.0,0.0659
Myanmar,SEAR,1999,0.029300000000000007,0.0,0.0915,0.00195,58.5,2.6,0.018000000000000002
Montenegro,EUR,1999,0.0189,0.0,0.0146,0.000131,73.6,102.0,0.07730000000000001
Mongolia,WBR,1999,0.0222,0.0,0.0686,0.0016899999999999999,60.7,17.9,0.0472
Mozambique,AFR,1999,0.0583,0.0,0.18100000000000002,0.00179,52.4,13.3,0.0518
Mauritania,AFR,1999,0.0551,0.0,0.114,0.00658,63.1,27.6,0.0595
Mauritius,AFR,1999,0.0201,0.998,0.0202,0.000393,71.9,126.0,0.0344
Malawi,AFR,1999,0.062,0.0,0.183,0.00264,45.5,10.6,0.06509999999999999
Malaysia,WBR,1999,0.0291,0.0,0.011000000000000001,0.000782,72.1,107.0,0.0308
Namibia,AFR,1999,0.0412,0.0,0.0762,0.0019100000000000002,55.2,128.0,0.0697
Niger,AFR,1999,0.07690000000000001,0.0,0.235,0.00366,51.5,7.05,0.0369
Nigeria,AFR,1999,0.0613,0.416,0.19,0.00299,54.6,16.1,0.0543
Nicaragua,AMR,1999,0.032,0.0,0.039,0.0007559999999999999,73.3,51.7,0.069
Netherlands,EUR,1999,0.0165,0.0,0.0063,0.000109,78.1,2110.0,0.0809
Norway,EUR,1999,0.018500000000000003,0.991,0.00498,7.31e-05,78.7,3330.0,0.0933
New Zealand,WBR,1999,0.02,0.92,0.0076,9.86e-05,78.0,1150.0,0.0753
Oman,EMR,1999,0.039900000000000005,0.0,0.0176,0.000471,68.8,243.0,0.0354
Pakistan,EMR,1999,0.0473,0.18,0.115,0.0028699999999999997,60.9,15.6,0.0371
Panama,AMR,1999,0.0277,0.901,0.0264,0.00062,77.3,271.0,0.06860000000000001
Peru,AMR,1999,0.029900000000000006,0.0,0.0419,0.0018100000000000002,74.4,98.4,0.0486
Philippines,WBR,1999,0.0385,0.58,0.0386,0.000822,70.5,35.4,0.0323
Papua New Guinea,WBR,1999,0.045700000000000005,0.0,0.07379999999999999,0.0030800000000000003,63.3,26.8,0.0409
Poland,EUR,1999,0.0141,0.997,0.00999,8.269999999999999e-05,73.2,251.0,0.0574
Portugal,EUR,1999,0.0146,0.0,0.0077,8.099999999999999e-05,76.4,986.0,0.0796
Paraguay,AMR,1999,0.0368,0.856,0.0345,0.00119,75.5,109.0,0.0782
Qatar,EMR,1999,0.0333,1.0,0.0129,0.00044800000000000005,70.6,632.0,0.029
Romania,EUR,1999,0.0131,0.98,0.0231,0.000443,70.7,82.3,0.0513
Russia,EUR,1999,0.0116,0.991,0.0201,0.000488,66.2,77.1,0.058
Rwanda,AFR,1999,0.0574,0.0,0.191,0.00483,49.3,11.2,0.046500000000000014
Saudi Arabia,EMR,1999,0.0414,0.0,0.0235,0.000487,70.2,339.0,0.0413
Sudan,EMR,1999,0.0554,0.0,0.10800000000000001,0.00243,62.9,12.2,0.038
Senegal,AFR,1999,0.0557,0.483,0.136,0.0034,60.1,24.2,0.0436
Singapore,WBR,1999,0.0147,0.997,0.00412,7.809999999999999e-05,78.8,632.0,0.0286
Solomon Islands,WBR,1999,0.0479,0.85,0.031,0.0028899999999999998,57.0,46.1,0.056
Sierra Leone,AFR,1999,0.0639,0.0,0.239,0.00462,50.0,26.6,0.16
El Salvador,AMR,1999,0.031400000000000004,0.0,0.0348,0.000662,72.8,168.0,0.0797
Somalia,EMR,1999,0.0766,0.193,0.172,0.0041,51.1,7.43,0.0281
Serbia,EUR,1999,0.0179,0.0,0.0132,0.000145,68.9,128.0,0.0741
Sao Tome and Principe,WBR,1999,0.0533,0.0,0.08929999999999999,0.00251,64.6,50.5,0.0898
Suriname,AMR,1999,0.029,0.0,0.0357,0.000802,70.2,151.0,0.0762
Slovak Republic,WBR,1999,0.0131,1.0,0.0102,9.63e-05,73.3,218.0,0.0575
Slovenia,EUR,1999,0.0121,0.999,0.00583,0.000167,75.8,877.0,0.078
Sweden,EUR,1999,0.0151,0.0,0.00414,2.49e-05,79.8,2400.0,0.08199999999999999
Eswatini,AFR,1999,0.042800000000000005,0.0,0.121,0.0011099999999999999,50.7,78.7,0.0538
Seychelles,AFR,1999,0.0216,0.0,0.0137,0.0006540000000000001,71.8,424.0,0.0529
Syria,EMR,1999,0.0414,0.0,0.0246,0.00047000000000000004,70.9,58.8,0.0525
Chad,AFR,1999,0.0738,0.0,0.18899999999999997,0.00477,52.5,11.3,0.0587
Togo,AFR,1999,0.0546,0.0,0.12300000000000001,0.00314,56.5,15.9,0.0471
Thailand,SEAR,1999,0.0171,0.0,0.023,0.001,71.4,68.7,0.035
Tajikistan,EUR,1999,0.0405,0.6659999999999999,0.0904,0.0005229999999999999,66.3,6.9,0.0388
Turkmenistan,EUR,1999,0.029,0.0,0.0831,0.000584,65.5,29.9,0.0345
Timor-Leste,SEAR,1999,0.0708,0.0,0.114,0.0034700000000000004,58.5,32.6,0.0995
Tonga,WBR,1999,0.0427,0.96,0.0179,0.0011300000000000001,70.6,103.0,0.0652
Trinidad and Tobago,AMR,1999,0.0177,0.984,0.0287,0.0005480000000000001,69.8,225.0,0.0425
Tunisia,EMR,1999,0.0221,0.0,0.032299999999999995,0.000586,74.0,128.0,0.0576
Turkey,EUR,1999,0.0256,0.0,0.0409,0.000767,72.8,186.0,0.047699999999999985
Tanzania,AFR,1999,0.0571,0.358,0.13699999999999998,0.00231,53.0,9.62,0.0329
Uganda,AFR,1999,0.069,0.0,0.154,0.00143,49.1,16.1,0.06269999999999999
Ukraine,EUR,1999,0.0117,0.991,0.0192,0.0003,68.3,37.7,0.0589
Uruguay,AMR,1999,0.0227,0.998,0.0176,0.00022200000000000003,74.4,628.0,0.0866
United States,AMR,1999,0.0201,0.994,0.00859,0.00014199999999999998,76.9,4450.0,0.133
Uzbekistan,EUR,1999,0.0287,1.0,0.06520000000000001,0.000273,65.5,41.9,0.0601
St. Vincent and the Grenadines,WBR,1999,0.0244,0.993,0.0226,0.00065,71.1,128.0,0.0415
Venezuela,AMR,1999,0.0287,0.0,0.0275,0.0006609999999999999,70.3,232.0,0.0565
Vietnam,WBR,1999,0.021,0.0,0.0314,0.000273,72.0,18.0,0.0488
Vanuatu,WBR,1999,0.0446,0.88,0.028999999999999998,0.00123,63.0,52.1,0.0352
Samoa,WBR,1999,0.0454,0.0,0.0219,0.000941,68.3,82.3,0.06280000000000001
Yemen,EMR,1999,0.06509999999999999,0.0,0.0993,0.0021,63.0,21.7,0.0466
South Africa,AFR,1999,0.0287,0.0,0.0717,0.00118,57.2,274.0,0.0906
Zambia,AFR,1999,0.0607,0.453,0.16899999999999998,0.00229,45.3,18.3,0.0579
Zimbabwe,AFR,1999,0.041,0.725,0.105,0.00123,48.5,36.0,0.07440000000000001
Afghanistan,EMR,2000,0.07490000000000001,0.124,0.129,0.0046,54.7,0.0,0.0
Angola,AFR,2000,0.0664,0.0,0.20600000000000002,0.00275,52.8,15.8,0.0241
Albania,EUR,2000,0.0216,0.991,0.0259,0.000124,75.4,75.2,0.0635
United Arab Emirates,EMR,2000,0.0264,0.0,0.0112,0.00017399999999999995,69.1,885.0,0.0257
Argentina,AMR,2000,0.0256,0.991,0.019600000000000003,0.00058,74.2,709.0,0.09210000000000003
Armenia,EUR,2000,0.013,0.968,0.0308,0.000364,72.4,39.0,0.06269999999999999
Antigua and Barbuda,AMR,2000,0.0232,0.999,0.0158,0.00024700000000000004,74.8,408.0,0.047699999999999985
Australia,WBR,2000,0.0176,0.993,0.00619,7.06e-05,79.7,1710.0,0.0803
Austria,EUR,2000,0.0137,0.983,0.0055,4.29e-05,78.5,2370.0,0.099
Azerbaijan,EUR,2000,0.0203,0.807,0.075,0.00035600000000000003,66.5,30.4,0.0468
Burundi,AFR,2000,0.0701,0.252,0.156,0.00534,44.7,7.04,0.0633
Belgium,EUR,2000,0.0163,0.0,0.005809999999999999,4.99e-05,78.0,1840.0,0.0812
Benin,AFR,2000,0.0596,0.0,0.139,0.0034200000000000003,57.4,15.7,0.0434
Burkina Faso,AFR,2000,0.0659,0.0,0.179,0.00245,52.5,10.9,0.0513
Bulgaria,EUR,2000,0.0118,0.998,0.0175,0.000408,70.2,97.7,0.0618
Bahrain,EMR,2000,0.0277,0.977,0.0125,0.00048300000000000003,71.7,497.0,0.0395
Bahamas,AMR,2000,0.0207,0.99,0.0157,0.0006580000000000001,71.3,1100.0,0.0591
Bosnia and Herzegovina,EUR,2000,0.015,0.989,0.00984,0.000156,75.5,106.0,0.0703
Belarus,EUR,2000,0.0124,0.999,0.0128,0.000226,69.0,63.5,0.0613
Belize,AMR,2000,0.036000000000000004,1.0,0.023600000000000003,0.00046699999999999997,70.0,132.0,0.0396
Bolivia,AMR,2000,0.0406,0.6729999999999999,0.07529999999999999,0.0026899999999999997,66.5,61.4,0.0608
Brazil,AMR,2000,0.023,0.986,0.0348,0.000647,71.2,265.0,0.0716
Barbados,AMR,2000,0.0174,0.98,0.0152,0.000386,74.7,601.0,0.0629
Brunei,WBR,2000,0.0222,0.992,0.0103,0.000321,72.5,551.0,0.0418
Bhutan,SEAR,2000,0.036000000000000004,0.273,0.0777,0.00277,65.7,51.6,0.069
Botswana,AFR,2000,0.0339,0.985,0.0869,0.0017800000000000001,45.5,152.0,0.047400000000000005
Central African Republic,AFR,2000,0.055,0.317,0.172,0.00536,43.8,9.97,0.0385
Canada,AMR,2000,0.0152,0.993,0.00621,5.47e-05,79.4,2090.0,0.08839999999999999
Switzerland,EUR,2000,0.0144,0.0,0.00564,6.53e-05,80.3,3520.0,0.102
Chile,AMR,2000,0.0211,0.99,0.0109,0.000265,76.9,405.0,0.0828
China,WBR,2000,0.015,0.966,0.0368,0.00074,71.3,43.4,0.0462
Cote d'Ivoire,WBR,2000,0.0571,0.628,0.145,0.00321,51.1,31.8,0.0506
Cameroon,AFR,2000,0.0558,0.56,0.149,0.00395,54.5,26.5,0.0447
"Congo, Dem. Rep.",WBR,2000,0.0696,0.0,0.161,0.0028899999999999998,53.9,13.3,0.0485
"Congo, Rep.",WBR,2000,0.051,0.0,0.114,0.0038299999999999996,53.0,21.7,0.0211
Colombia,AMR,2000,0.0239,0.861,0.025,0.000722,74.2,184.0,0.0731
Comoros,AFR,2000,0.0532,0.618,0.102,0.00256,61.4,10.4,0.0289
Cape Verde,AFR,2000,0.0376,0.0,0.0356,0.00119,70.3,57.2,0.0464
Costa Rica,AMR,2000,0.0237,0.966,0.013000000000000001,0.000391,77.9,266.0,0.0653
Cuba,AMR,2000,0.016200000000000003,0.999,0.00855,0.000539,77.0,168.0,0.0612
Cyprus,EUR,2000,0.0172,0.979,0.00662,0.000131,76.7,744.0,0.0577
Czech Republic,EUR,2000,0.011200000000000002,0.998,0.0054600000000000004,6.45e-05,75.2,361.0,0.06309999999999999
Germany,EUR,2000,0.013500000000000002,0.986,0.00536,6.610000000000001e-05,78.4,2390.0,0.104
Djibouti,EMR,2000,0.044800000000000006,0.0,0.10099999999999999,0.00394,60.4,43.7,0.0581
Denmark,EUR,2000,0.0177,0.988,0.0055,1.9600000000000002e-05,77.2,2610.0,0.087
Dominican Republic,AMR,2000,0.0289,0.976,0.0409,0.000682,73.7,175.0,0.0635
Algeria,AFR,2000,0.0251,0.92,0.039700000000000006,0.0014199999999999998,71.0,62.6,0.0349
Ecuador,AMR,2000,0.0303,0.0,0.028999999999999998,0.000772,74.5,53.6,0.0415
Egypt,EMR,2000,0.0323,0.609,0.0468,0.000607,68.5,78.6,0.0543
Eritrea,AFR,2000,0.0533,0.0,0.0855,0.00468,54.8,9.09,0.0526
Estonia,EUR,2000,0.0132,0.995,0.0109,0.000285,71.0,250.0,0.0604
Ethiopia,AFR,2000,0.0653,0.056,0.142,0.0050799999999999994,51.1,5.32,0.043
Finland,EUR,2000,0.0173,0.984,0.00427,6.54e-05,78.0,1700.0,0.0722
Fiji,WBR,2000,0.0309,0.969,0.0227,0.00115,65.8,79.8,0.0385
France,EUR,2000,0.0182,0.0,0.005370000000000001,9.39e-05,79.2,2200.0,0.101
"Micronesia, Fed. Sts.",WBR,2000,0.043,0.828,0.0535,0.00161,62.6,170.0,0.0808
Gabon,AFR,2000,0.0454,0.855,0.0847,0.0029100000000000003,59.6,102.0,0.025
United Kingdom,EUR,2000,0.0168,0.0,0.006540000000000001,9.14e-05,78.0,1760.0,0.0701
Georgia,EUR,2000,0.0161,0.955,0.0368,0.000223,70.7,44.7,0.0694
Ghana,AFR,2000,0.0483,0.0,0.0995,0.00161,59.6,12.3,0.047400000000000005
Guinea,AFR,2000,0.0608,0.0,0.166,0.00535,54.3,21.1,0.0565
Gambia,AFR,2000,0.0595,0.516,0.115,0.00415,61.6,18.8,0.0579
Guinea-Bissau,AFR,2000,0.0582,0.318,0.175,0.00386,51.5,10.7,0.0618
Equatorial Guinea,AFR,2000,0.0583,0.6459999999999999,0.157,0.00271,57.6,46.4,0.0193
Greece,EUR,2000,0.0132,0.999,0.006409999999999999,4.72e-05,78.4,917.0,0.0788
Grenada,AMR,2000,0.0258,1.0,0.0156,0.00047400000000000003,72.0,339.0,0.0658
Guatemala,AMR,2000,0.046,0.0,0.0517,0.0019,66.7,94.9,0.0553
Guyana,AMR,2000,0.0302,0.8290000000000001,0.0466,0.00147,64.0,54.3,0.0558
Honduras,AMR,2000,0.0406,0.0,0.0371,0.00187,70.1,62.2,0.0538
