country,region,year,fertility_rate,birth_attended_staff_rate,child_mortality_rate,maternal_mortality_rate,average_life_expectancy,health_spending_per_person,health_spending_rate
Greece,EUR,1995,0.0137,0.999,0.00847,3.3299999999999996e-05,77.8,1060.0,0.0859
Grenada,AMR,1995,0.0312,1.0,0.0181,0.000545,70.7,191.0,0.0691
Guatemala,AMR,1995,0.0509,0.348,0.0639,0.00282,64.1,53.7,0.0367
Guyana,AMR,1995,0.0307,0.93,0.0528,0.0016,63.1,41.5,0.0486
Honduras,AMR,1995,0.0464,0.0,0.0463,0.0022600000000000003,69.5,37.9,0.0534
Croatia,EUR,1995,0.0152,0.999,0.00997,0.00014800000000000002,73.0,323.0,0.06849999999999999
Haiti,AMR,1995,0.0489,0.206,0.124,0.00447,55.4,22.6,0.0661
Hungary,EUR,1995,0.0156,0.994,0.0125,0.00016299999999999998,70.0,323.0,0.0733
Indonesia,SEAR,1995,0.0269,0.4970000000000001,0.0664,0.00374,66.0,19.8,0.0195
India,SEAR,1995,0.0365,0.0,0.109,0.00361,61.7,15.7,0.041100000000000005
Ireland,EUR,1995,0.019,0.0,0.0073,2.33e-05,75.7,1240.0,0.06570000000000001
Iran,EMR,1995,0.0322,0.0,0.0442,0.000434,70.4,68.2,0.0383
Iraq,EMR,1995,0.0542,0.0,0.0489,0.0008609999999999999,67.2,0.0,0.0
Iceland,EUR,1995,0.0213,0.998,0.00521,4.1700000000000004e-05,78.4,2210.0,0.0843
Israel,EUR,1995,0.0292,0.0,0.00866,7.58e-05,77.8,1280.0,0.0739
Italy,EUR,1995,0.0124,0.0,0.00748,5.25e-05,78.2,1440.0,0.0722
Jamaica,AMR,1995,0.0277,0.0,0.026000000000000002,0.000663,75.3,96.6,0.0409
Jordan,EMR,1995,0.0461,0.0,0.031,0.00106,71.8,127.0,0.0828
Japan,WBR,1995,0.0141,0.999,0.0056700000000000006,0.00010700000000000001,80.2,2890.0,0.069
Kazakhstan,EUR,1995,0.022400000000000003,0.996,0.0528,0.000753,64.0,48.4,0.0463
Kenya,AFR,1995,0.0546,0.0,0.11900000000000001,0.00259,57.0,14.1,0.0426
Kyrgyz Republic,WBR,1995,0.033,0.98,0.0628,0.00061,65.6,22.3,0.0687
Cambodia,WBR,1995,0.0469,0.433,0.12,0.0038399999999999997,59.0,20.1,0.0679
Kiribati,WBR,1995,0.0437,0.0,0.08170000000000001,0.0037700000000000003,55.3,70.4,0.094
South Korea,WBR,1995,0.016200000000000003,0.0,0.0104,0.00017199999999999998,74.3,442.0,0.0375
Kuwait,EMR,1995,0.0272,0.0,0.0143,0.000161,78.3,629.0,0.0376
Lao,WBR,1995,0.0539,0.0,0.128,0.0049700000000000005,55.6,15.3,0.041100000000000005
Lebanon,EMR,1995,0.0262,0.0,0.0256,0.000344,73.2,361.0,0.107
Liberia,AFR,1995,0.0616,0.0,0.244,0.0059700000000000005,50.3,0.0,0.0
Libya,EMR,1995,0.0364,0.944,0.033100000000000004,0.000269,74.6,187.0,0.035
St. Lucia,WBR,1995,0.0289,1.0,0.0198,0.00046399999999999995,71.4,181.0,0.0475
Sri Lanka,SEAR,1995,0.0229,0.0,0.02,0.000725,70.9,24.5,0.034300000000000004
Lesotho,AFR,1995,0.0455,0.0,0.10099999999999999,0.00168,57.1,36.6,0.08070000000000001
Lithuania,EUR,1995,0.016399999999999998,1.0,0.0151,0.000197,69.0,99.7,0.0537
Luxembourg,EUR,1995,0.0171,0.0,0.00634,0.000103,76.6,2820.0,0.0557
Latvia,EUR,1995,0.0136,1.0,0.0198,0.000325,66.7,115.0,0.0578
Morocco,EMR,1995,0.033,0.396,0.0625,0.00249,67.7,47.9,0.039
Moldova,EUR,1995,0.019,1.0,0.0384,0.000509,66.0,30.1,0.0905
Madagascar,AFR,1995,0.05980000000000001,0.0,0.136,0.0035399999999999997,57.9,6.74,0.028
Maldives,SEAR,1995,0.043,0.0,0.0624,0.00245,68.7,95.8,0.0597
Mexico,AMR,1995,0.0302,0.0,0.0347,0.000679,72.3,176.0,0.0515
North Macedonia,EUR,1995,0.0198,0.941,0.0242,0.00016299999999999998,70.7,201.0,0.08529999999999999
Mali,AFR,1995,0.0706,0.0,0.212,0.00511,51.7,14.4,0.0524
Malta,EUR,1995,0.0197,0.0,0.00938,0.000103,77.8,591.0,0.0581
Myanmar,SEAR,1995,0.0304,0.0,0.102,0.00182,57.0,2.57,0.0215
Montenegro,EUR,1995,0.0198,0.0,0.0151,8.88e-05,74.3,139.0,0.0767
Mongolia,WBR,1995,0.0274,0.0,0.0869,0.0019199999999999998,59.5,19.4,0.0365
Mozambique,AFR,1995,0.0596,0.0,0.218,0.0020800000000000003,52.6,7.28,0.0506
Mauritania,AFR,1995,0.0577,0.0,0.114,0.0072299999999999994,61.3,29.4,0.047699999999999985
Mauritius,AFR,1995,0.0214,0.981,0.0222,0.0006259999999999999,71.1,129.0,0.0362
Malawi,AFR,1995,0.0642,0.0,0.203,0.00266,46.3,6.96,0.0492
Malaysia,WBR,1995,0.0331,0.951,0.0133,0.000817,71.8,124.0,0.029
Namibia,AFR,1995,0.0459,0.0,0.0707,0.0017100000000000001,60.3,132.0,0.0622
Niger,AFR,1995,0.07730000000000001,0.0,0.27899999999999997,0.00381,48.6,7.05,0.0341
Nigeria,AFR,1995,0.0626,0.0,0.20600000000000002,0.00279,54.6,36.4,0.0437
Nicaragua,AMR,1995,0.0378,0.0,0.0505,0.000843,71.5,57.8,0.08410000000000001
